[00:00:00 - 00:25:50]:  [Música]
[00:25:50 - 00:36:40]:  Para a vida, mas já temos estado de emergência aprovada, foi aprovado no Parlamento hoje com um voto contra desta vez
[00:36:40 - 00:48:20]:  da iniciativa liberal, o João Galtaváres talvez seja em melhores condições de qualquer um de nós para avaliar a sua contra
[00:48:20 - 01:01:40]:  Sim, quer dizer, eu por um lado já estou em louccia como se pode ver pela minha companhia que eu decidi trazer para este programa
[01:01:40 - 01:10:00]:  Mas isso é para fazer com com correncia ao aree do Tailandês, não?
[01:10:00 - 01:21:40]:  As minhas miudas, quer dizer, simultaneamente representação dos meus quatro filhos mas teria sido mais interessante se fosse um aree
[01:21:40 - 01:35:00]:  Em só estiver a ouvir, tendo saber que o João Galtaváres estar acompanhado por quatro bonecas, o que é que se quer dizer,
[01:35:00 - 01:46:40]:  porque eu estou no quarto, onde os milho de que estou morrincado e portanto isto é brincadeiro de todo lado
[01:46:40 - 01:51:40]:  Mas eu não estou parecido com estas bonecas
[01:51:40 - 02:10:00]:  E o voto contra? Não, o voto contra a atenção, eu também não sou muito favorável, ou preciões das liberidades individuais e nós podemos nos questionar
[02:10:00 - 02:21:40]:  É, se os portugueses foram para casa de voluntariamente, porque andará para estar regras com a reclusão à voluntária
[02:21:40 - 02:31:40]:  Mas a verdade é que se vê pelas pessoas eu tenho que sair arruo agora, dois dias de seguida, por causa das razões profissionais
[02:31:40 - 02:41:40]:  Eu comece a ver uma movimentação maior do que a habitual, e eu acho que...
[02:41:40 - 02:46:40]:  Se a casa não sou de movimentação nenhuma, de facto
[02:46:40 - 02:50:00]:  Pois não, tá seguido
[02:50:00 - 02:56:40]:  Sabe que eu tenho de genelas, ou que às vezes não sou de um boneca
[02:56:40 - 03:00:00]:  Eu estou num boneca
[03:00:00 - 03:08:20]:  Eu tenho de genelas, ou que o Ricardo Aror de Prena que já não está num boneca, hoje se deu sem de casa
[03:08:20 - 03:28:20]:  O primeiro Alfredo? Não estou, estou em comprimento rigoroso das regras, pior do que eu estava junto com o Miguel Tavaz, porque uma das aquelas bonecas tem um armêzio muito inquietante
[03:28:20 - 03:41:40]:  E eu não tenho nenhum boneco do cheque, parece que não vai ser um baixo de fãquiano
[03:41:40 - 03:51:40]:  Parece que são os cerealquilas que têm uma predileção por objetos infantis
[03:51:40 - 04:01:40]:  E essa seguida de casa, Ricardo, significou que é a falta da área?
[04:01:40 - 04:05:00]:  Não, é das vezes da jeito, não é?
[04:05:00 - 04:10:00]:  A gente tem quintal, não é?
[04:10:00 - 04:16:40]:  Hoje, exatamente, é isso que eu ia dizer, é que esta quarentena é importante não esquecer
[04:16:40 - 04:26:40]:  Que esta quarentena também tem uma componente de desigualdade bastante grande
[04:26:40 - 04:31:40]:  Porque uma coisa é estar a fazer a quarentena, não ter dois na arreantela
[04:31:40 - 04:43:20]:  Outra coisa é ter capacidade de dar uma volta em a quarenta aula e estar a desperse ser um bocadinho
[04:43:20 - 04:53:20]:  A gente quando a gente está a julgar aquelas pessoas que resolvem dar uma volta, vão lembrar nos disso
[04:53:20 - 04:58:20]:  Gosto por muito que tu assumas do teu lugar para ir religiado, por que Ricardo?
[04:58:20 - 05:01:40]:  Obrigado, obrigado
[05:01:40 - 05:08:20]:  Perdemos que a notícia do dia, que se uma atenção?
[05:08:20 - 05:20:00]:  Foi a carta da apresenta comissão europeia publicado no genólico de Italiano, a área pública
[05:20:00 - 05:30:00]:  É uma carta a ver dos italianos dizendo que parece que o Nio Europeia esteve mal
[05:30:00 - 05:40:00]:  Acho que finalmente percebeu isso, finalmente os priminhos em público
[05:40:00 - 05:48:20]:  Mas será só retórica, ou poderá ser indício de algo mais?
[05:48:20 - 06:00:00]:  Quais erá umas medidas anunciadas na própria testa carta, não sei se o impacto e o âmbito das medidas
[06:00:00 - 06:11:40]:  Mas acho que intermentas medidas, as medidas são essenciais, mas é importante o que ela diz na carta
